tweet_id,airline,airline_sentiment,word,sentiment
86,Virgin America,negative,trouble,negative
86,Virgin America,negative,elevate,positive
88,Virgin America,neutral,elevate,positive
88,Virgin America,neutral,disproportionate,negative
92,Virgin America,neutral,elevate,positive
93,Virgin America,negative,disappointed,negative
94,Virgin America,negative,friendly,positive
98,Virgin America,negative,uncomfortable,negative
100,Virgin America,negative,useless,negative
102,Virgin America,negative,miss,negative
102,Virgin America,negative,missed,negative
102,Virgin America,negative,lost,negative
104,Virgin America,negative,unexpected,negative
104,Virgin America,negative,sneaky,negative
105,Virgin America,negative,lost,negative
105,Virgin America,negative,missed,negative
106,Virgin America,positive,amazing,positive
107,Virgin America,negative,hung,negative
107,Virgin America,negative,awesome,positive
107,Virgin America,negative,sarcasm,negative
108,Virgin America,negative,reluctant,negative
110,Virgin America,positive,cool,positive
111,Virgin America,neutral,cool,positive
112,Virgin America,positive,cool,positive
113,Virgin America,neutral,cool,positive
115,Virgin America,positive,horrible,negative
115,Virgin America,positive,cold,negative
116,Virgin America,negative,concerned,negative
116,Virgin America,negative,delayed,negative
117,Virgin America,positive,helpful,positive
117,Virgin America,positive,comfortable,positive
118,Virgin America,positive,beautifully,positive
119,Virgin America,positive,beautiful,positive
119,Virgin America,positive,cool,positive
119,Virgin America,positive,secure,positive
120,Virgin America,positive,love,positive
120,Virgin America,positive,delayed,negative
120,Virgin America,positive,entertaining,positive
121,Virgin America,negative,reputation,positive
121,Virgin America,negative,compatible,positive
123,Virgin America,negative,delay,negative
124,Virgin America,positive,outstanding,positive
125,Virgin America,positive,delighted,positive
126,Virgin America,neutral,complimentary,positive
128,Virgin America,positive,awesome,positive
128,Virgin America,positive,awesome,positive
131,Virgin America,negative,failing,negative
132,Virgin America,negative,terrible,negative
134,Virgin America,negative,shame,negative
135,Virgin America,negative,delayed,negative
140,Virgin America,negative,anxiety,negative
140,Virgin America,negative,frustrated,negative
141,Virgin America,negative,afford,positive
141,Virgin America,negative,lame,negative
145,Virgin America,positive,amazing,positive
145,Virgin America,positive,super,positive
145,Virgin America,positive,helpful,positive
145,Virgin America,positive,spoiled,negative
145,Virgin America,positive,comfort,positive
146,Virgin America,negative,love,positive
146,Virgin America,negative,sad,negative
149,Virgin America,positive,refreshed,positive
150,Virgin America,negative,damaged,negative
153,Virgin America,positive,happy,positive
155,Virgin America,neutral,love,positive
157,Virgin America,neutral,expired,negative
157,Virgin America,neutral,expired,negative
158,Virgin America,negative,error,negative
161,Virgin America,negative,unacceptable,negative
162,Virgin America,negative,stuck,negative
166,Virgin America,negative,disappointed,negative
174,Virgin America,negative,fuck,negative
175,Virgin America,negative,disappointed,negative
176,Virgin America,neutral,love,positive
176,Virgin America,neutral,damaged,negative
178,Virgin America,negative,worse,negative
179,Virgin America,negative,shame,negative
182,Virgin America,negative,bad,negative
185,Virgin America,positive,elevate,positive
185,Virgin America,positive,gold,positive
187,Virgin America,negative,sad,negative
187,Virgin America,negative,worst,negative
188,Virgin America,negative,wrong,negative
188,Virgin America,negative,worst,negative
189,Virgin America,neutral,issue,negative
190,Virgin America,positive,cool,positive
192,Virgin America,negative,lose,negative
193,Virgin America,negative,suck,negative
195,Virgin America,negative,issue,negative
199,Virgin America,negative,stink,negative
199,Virgin America,negative,disappointed,negative
200,Virgin America,positive,love,positive
202,Virgin America,positive,faster,positive
203,Virgin America,neutral,nervous,negative
204,Virgin America,positive,cool,positive
206,Virgin America,positive,goodness,positive
206,Virgin America,positive,love,positive
206,Virgin America,positive,amazing,positive
206,Virgin America,positive,crisis,negative
209,Virgin America,positive,awesome,positive
209,Virgin America,positive,support,positive
211,Virgin America,negative,delayed,negative
211,Virgin America,negative,pros,positive
211,Virgin America,negative,free,positive
212,Virgin America,negative,scared,negative
213,Virgin America,positive,killed,negative
214,Virgin America,negative,refusing,negative
214,Virgin America,negative,refund,positive
217,Virgin America,negative,broken,negative
219,Virgin America,negative,delayed,negative
221,Virgin America,negative,ugh,negative
223,Virgin America,positive,love,positive
224,Virgin America,positive,afford,positive
224,Virgin America,positive,love,positive
225,Virgin America,negative,sad,negative
226,Virgin America,neutral,bug,negative
231,Virgin America,positive,awesome,positive
234,Virgin America,positive,disruption,negative
235,Virgin America,positive,nicely,positive
237,Virgin America,negative,delay,negative
239,Virgin America,positive,amazing,positive
239,Virgin America,positive,love,positive
240,Virgin America,positive,fun,positive
243,Virgin America,negative,unusable,negative
247,Virgin America,positive,helping,positive
248,Virgin America,positive,sweet,positive
249,Virgin America,positive,love,positive
250,Virgin America,negative,trust,positive
251,Virgin America,negative,bug,negative
252,Virgin America,negative,dented,negative
253,Virgin America,positive,easy,positive
253,Virgin America,positive,impending,negative
253,Virgin America,positive,painless,positive
253,Virgin America,positive,free,positive
254,Virgin America,neutral,love,positive
254,Virgin America,neutral,free,positive
258,Virgin America,neutral,love,positive
259,Virgin America,positive,improve,positive
260,Virgin America,negative,stuck,negative
261,Virgin America,neutral,grand,positive
262,Virgin America,neutral,missed,negative
263,Virgin America,negative,exhausted,negative
263,Virgin America,negative,inconvenience,negative
264,Virgin America,negative,wrong,negative
265,Virgin America,positive,sweet,positive
266,Virgin America,negative,expired,negative
269,Virgin America,neutral,lie,negative
271,Virgin America,neutral,advantage,positive
273,Virgin America,positive,amazing,positive
275,Virgin America,negative,disappointed,negative
277,Virgin America,positive,fav,positive
278,Virgin America,positive,hot,positive
278,Virgin America,positive,sweet,positive
281,Virgin America,negative,lost,negative
283,Virgin America,negative,errors,negative
288,Virgin America,negative,gold,positive
288,Virgin America,negative,benefits,positive
289,Virgin America,negative,awesome,positive
293,Virgin America,negative,funny,negative
293,Virgin America,negative,broken,negative
293,Virgin America,negative,dislike,negative
294,Virgin America,positive,love,positive
295,Virgin America,neutral,handily,positive
295,Virgin America,neutral,exceed,positive
298,Virgin America,neutral,positive,positive
299,Virgin America,negative,bug,negative
300,Virgin America,neutral,delays,negative
302,Virgin America,negative,broken,negative
303,Virgin America,neutral,choppy,negative
304,Virgin America,positive,loved,positive
305,Virgin America,negative,lost,negative
306,Virgin America,negative,broken,negative
307,Virgin America,positive,love,positive
308,Virgin America,positive,inappropriate,negative
309,Virgin America,positive,happy,positive
311,Virgin America,neutral,missed,negative
312,Virgin America,positive,helped,positive
315,Virgin America,negative,broken,negative
316,Virgin America,neutral,ready,positive
317,Virgin America,negative,broken,negative
319,Virgin America,neutral,urgent,negative
319,Virgin America,neutral,cancer,negative
321,Virgin America,negative,stunned,positive
324,Virgin America,positive,free,positive
324,Virgin America,positive,free,positive
330,Virgin America,negative,promised,positive
331,Virgin America,neutral,rockstar,positive
333,Virgin America,positive,rockstars,positive
334,Virgin America,positive,lovely,positive
334,Virgin America,positive,soft,positive
336,Virgin America,negative,super,positive
336,Virgin America,negative,fun,positive
336,Virgin America,negative,broken,negative
336,Virgin America,negative,worry,negative
338,Virgin America,neutral,nice,positive
342,Virgin America,positive,adore,positive
343,Virgin America,positive,glad,positive
344,Virgin America,neutral,uphold,positive
348,Virgin America,positive,smooth,positive
348,Virgin America,positive,fav,positive
350,Virgin America,negative,fine,positive
352,Virgin America,negative,slow,negative
354,Virgin America,negative,loyal,positive
355,Virgin America,negative,disappointed,negative
358,Virgin America,neutral,boost,positive
359,Virgin America,positive,recommend,positive
360,Virgin America,positive,love,positive
365,Virgin America,neutral,swanky,positive
367,Virgin America,negative,superior,positive
368,Virgin America,negative,dirty,negative
369,Virgin America,negative,sad,negative
371,Virgin America,negative,sucks,negative
372,Virgin America,negative,delayed,negative
374,Virgin America,neutral,lie,negative
375,Virgin America,positive,fun,positive
375,Virgin America,positive,happy,positive
376,Virgin America,positive,love,positive
377,Virgin America,negative,joke,negative
380,Virgin America,positive,love,positive
382,Virgin America,positive,wow,positive
382,Virgin America,positive,unexpected,negative
385,Virgin America,positive,loved,positive
386,Virgin America,positive,fat,negative
388,Virgin America,neutral,brilliant,positive
388,Virgin America,neutral,brisk,positive
389,Virgin America,neutral,lone,negative
390,Virgin America,neutral,lone,negative
391,Virgin America,neutral,lone,negative
393,Virgin America,positive,pretty,positive
397,Virgin America,negative,support,positive
405,Virgin America,positive,cool,positive
410,Virgin America,negative,sucks,negative
411,Virgin America,neutral,favorite,positive
412,Virgin America,negative,crap,negative
416,Virgin America,positive,heaven,positive
417,Virgin America,positive,goodness,positive
417,Virgin America,positive,boom,positive
418,Virgin America,negative,waste,negative
421,Virgin America,neutral,helping,positive
423,Virgin America,positive,excited,positive
425,Virgin America,neutral,love,positive
426,Virgin America,negative,sad,negative
428,Virgin America,positive,incredible,positive
428,Virgin America,positive,refreshing,positive
433,Virgin America,neutral,nice,positive
433,Virgin America,neutral,love,positive
434,Virgin America,negative,sucked,negative
435,Virgin America,negative,poor,negative
435,Virgin America,negative,stuck,negative
438,Virgin America,positive,awesome,positive
439,Virgin America,neutral,miss,negative
440,Virgin America,positive,love,positive
440,Virgin America,positive,win,positive
441,Virgin America,positive,love,positive
441,Virgin America,positive,excellent,positive
442,Virgin America,neutral,love,positive
446,Virgin America,neutral,cancer,negative
447,Virgin America,negative,bad,negative
447,Virgin America,negative,extortion,negative
448,Virgin America,negative,worrying,negative
448,Virgin America,negative,broken,negative
448,Virgin America,negative,stolen,negative
450,Virgin America,negative,nightmare,negative
454,Virgin America,positive,classy,positive
455,Virgin America,positive,faster,positive
455,Virgin America,positive,strong,positive
456,Virgin America,positive,elevate,positive
458,Virgin America,negative,shit,negative
459,Virgin America,neutral,bumping,negative
460,Virgin America,positive,rough,negative
464,Virgin America,positive,perfect,positive
465,Virgin America,positive,nice,positive
465,Virgin America,positive,faster,positive
466,Virgin America,positive,love,positive
466,Virgin America,positive,cool,positive
467,Virgin America,positive,love,positive
468,Virgin America,positive,free,positive
477,Virgin America,positive,defiantly,negative
480,Virgin America,negative,scolding,negative
482,Virgin America,negative,helping,positive
482,Virgin America,negative,luck,positive
486,Virgin America,negative,shocked,negative
486,Virgin America,negative,apathy,negative
489,Virgin America,positive,loyal,positive
490,Virgin America,neutral,penalty,negative
491,Virgin America,positive,perfect,positive
496,Virgin America,negative,delay,negative
498,Virgin America,neutral,bonuses,positive
498,Virgin America,neutral,elevate,positive
499,Virgin America,positive,incredible,positive
500,Virgin America,neutral,elevate,positive
503,Virgin America,positive,awesome,positive
506,United,positive,happy,positive
507,United,negative,refund,positive
507,United,negative,issue,negative
507,United,negative,useless,negative
508,United,negative,delayed,negative
508,United,negative,lack,negative
508,United,negative,delayed,negative
508,United,negative,improve,positive
509,United,positive,luck,positive
510,United,negative,popular,positive
513,United,neutral,tough,positive
513,United,neutral,risk,negative
513,United,neutral,steep,negative
514,United,negative,issues,negative
519,United,negative,worst,negative
520,United,negative,flawed,negative
520,United,negative,flawed,negative
521,United,negative,unrealistic,negative
524,United,negative,lost,negative
527,United,negative,sucks,negative
528,United,positive,wonderful,positive
531,United,negative,timely,positive
534,United,negative,weak,negative
536,United,neutral,lost,negative
537,United,negative,awards,positive
537,United,negative,award,positive
538,United,negative,debacle,negative
539,United,neutral,trusted,positive
540,United,negative,issue,negative
541,United,negative,spoiled,negative
543,United,negative,easy,positive
544,United,negative,refuse,negative
544,United,negative,lost,negative
546,United,negative,rude,negative
546,United,negative,nice,positive
549,United,neutral,illegal,negative
551,United,negative,inappropriately,negative
552,United,neutral,love,positive
553,United,positive,issue,negative
554,United,negative,loved,positive
554,United,negative,bad,negative
555,United,negative,refund,positive
557,United,neutral,concern,negative
560,United,negative,concern,negative
561,United,negative,measly,negative
561,United,negative,loyal,positive
561,United,negative,unacceptable,negative
564,United,negative,rude,negative
564,United,negative,rude,negative
565,United,negative,stuck,negative
566,United,negative,breaks,negative
567,United,negative,impolite,negative
568,United,negative,disabled,negative
568,United,negative,unfamiliar,negative
569,United,negative,shame,negative
571,United,negative,mistakes,negative
573,United,negative,plague,negative
574,United,negative,helping,positive
576,United,negative,delayed,negative
579,United,positive,awesome,positive
581,United,negative,upset,negative
581,United,negative,rude,negative
582,United,negative,inconvenience,negative
583,United,negative,emergency,negative
583,United,negative,wow,positive
585,United,negative,improvement,positive
586,United,negative,complained,negative
586,United,negative,unfortunate,negative
587,United,negative,helpful,positive
588,United,negative,expensive,negative
589,United,negative,fail,negative
589,United,negative,helpful,positive
592,United,negative,break,negative
592,United,negative,sincerely,positive
593,United,negative,silly,negative
593,United,negative,unhelpful,negative
593,United,negative,bothered,negative
595,United,negative,negligence,negative
597,United,negative,helped,positive
599,United,positive,lovely,positive
599,United,positive,helpful,positive
604,United,negative,eager,positive
606,United,negative,rude,negative
606,United,negative,stuck,negative
607,United,negative,delayed,negative
609,United,negative,delayed,negative
609,United,negative,delay,negative
610,United,negative,delayed,negative
611,United,negative,crashed,negative
612,United,positive,wow,positive
612,United,positive,easy,positive
612,United,positive,happy,positive
614,United,neutral,trouble,negative
617,United,negative,terrible,negative
617,United,negative,scam,negative
619,United,negative,disappointed,negative
619,United,negative,honor,positive
619,United,negative,mistakes,negative
622,United,negative,terrible,negative
623,United,negative,pathetic,negative
625,United,negative,unavailable,negative
631,United,negative,delayed,negative
633,United,negative,hard,negative
633,United,negative,upset,negative
633,United,negative,remorse,negative
634,United,negative,hollow,negative
635,United,negative,shocking,negative
635,United,negative,neglect,negative
635,United,negative,disrespect,negative
636,United,negative,disappointed,negative
636,United,negative,enjoyed,positive
637,United,negative,incredibly,positive
637,United,negative,easy,positive
637,United,negative,comfort,positive
638,United,negative,excuses,negative
644,United,negative,faith,positive
645,United,negative,amazing,positive
645,United,negative,mistakes,negative
645,United,negative,fails,negative
645,United,negative,error,negative
646,United,neutral,super,positive
647,United,negative,reputation,positive
649,United,negative,issues,negative
650,United,negative,limits,negative
651,United,negative,negligent,negative
652,United,negative,resent,negative
655,United,negative,broken,negative
658,United,neutral,cheaper,positive
661,United,negative,stuck,negative
662,United,negative,unhappy,negative
662,United,negative,complaint,negative
662,United,negative,awful,negative
664,United,positive,cool,positive
666,United,negative,ready,positive
666,United,negative,delay,negative
668,United,negative,correct,positive
668,United,negative,delayed,negative
673,United,negative,frustrated,negative
673,United,negative,nervous,negative
674,United,negative,difficult,negative
675,United,negative,issue,negative
675,United,negative,distress,negative
677,United,negative,incredibly,positive
677,United,negative,stressful,negative
677,United,negative,uncomfortable,negative
678,United,negative,severe,negative
678,United,negative,anxiety,negative
679,United,negative,refund,positive
679,United,negative,confident,positive
680,United,neutral,improvement,positive
680,United,neutral,worth,positive
682,United,neutral,award,positive
683,United,negative,disappointed,negative
683,United,negative,lack,negative
685,United,negative,horrid,negative
686,United,negative,unacceptable,negative
687,United,negative,horrible,negative
690,United,negative,top,positive
690,United,negative,lost,negative
690,United,negative,worse,negative
691,United,positive,kudos,positive
691,United,positive,panic,negative
692,United,negative,broken,negative
695,United,negative,delayed,negative
696,United,positive,awesome,positive
696,United,positive,nice,positive
697,United,negative,efficiently,positive
698,United,negative,refund,positive
698,United,negative,disputed,negative
699,United,negative,pretty,positive
699,United,negative,pretty,positive
702,United,negative,convenient,positive
704,United,negative,refund,positive
708,United,negative,properly,positive
708,United,negative,dead,negative
709,United,negative,fun,positive
710,United,positive,abundance,positive
711,United,negative,atrocious,negative
711,United,negative,lost,negative
711,United,negative,impossible,negative
712,United,negative,recommended,positive
713,United,negative,stuck,negative
713,United,negative,missed,negative
713,United,negative,delay,negative
719,United,negative,fail,negative
720,United,neutral,luck,positive
721,United,negative,doubt,negative
722,United,positive,compliment,positive
722,United,positive,lost,negative
722,United,positive,happy,positive
724,United,positive,loyal,positive
727,United,negative,expensive,negative
727,United,negative,ruined,negative
729,United,negative,worse,negative
730,United,negative,strange,negative
730,United,negative,delay,negative
731,United,negative,lack,negative
732,United,negative,bad,negative
732,United,negative,issue,negative
735,United,negative,hostage,negative
735,United,negative,fail,negative
738,United,negative,poor,negative
742,United,negative,issues,negative
742,United,negative,delays,negative
743,United,neutral,urgent,negative
747,United,negative,unacceptable,negative
751,United,negative,fail,negative
752,United,negative,pretty,positive
752,United,negative,tired,negative
753,United,negative,bright,positive
753,United,negative,promise,positive
755,United,negative,hard,negative
755,United,negative,fail,negative
756,United,negative,unhappy,negative
757,United,negative,worst,negative
760,United,negative,frustrating,negative
760,United,negative,loyal,positive
760,United,negative,top,positive
762,United,negative,worse,negative
763,United,negative,delayed,negative
765,United,negative,lost,negative
765,United,negative,broken,negative
765,United,negative,promised,positive
765,United,negative,fail,negative
766,United,negative,helpful,positive
768,United,negative,regret,negative
768,United,negative,secure,positive
770,United,negative,premier,positive
770,United,negative,delayed,negative
770,United,negative,annoyed,negative
772,United,negative,delays,negative
772,United,negative,bullshit,negative
773,United,negative,stellar,positive
773,United,negative,delays,negative
775,United,negative,unfortunate,negative
775,United,negative,ripped,negative
777,United,negative,lost,negative
777,United,negative,poor,negative
778,United,negative,mistake,negative
778,United,negative,absurd,negative
778,United,negative,inconveniently,negative
780,United,negative,sarcastically,negative
780,United,negative,luck,positive
781,United,neutral,happily,positive
783,United,positive,favorite,positive
784,United,negative,fail,negative
787,United,negative,split,negative
787,United,negative,refund,positive
788,United,neutral,ruined,negative
791,United,negative,miss,negative
792,United,negative,delayed,negative
792,United,negative,pretty,positive
793,United,negative,hard,negative
793,United,negative,upset,negative
794,United,negative,refund,positive
796,United,negative,bs,negative
796,United,negative,stall,negative
796,United,negative,worse,negative
797,United,negative,stuck,negative
797,United,negative,miss,negative
799,United,negative,unable,negative
799,United,negative,waste,negative
804,United,negative,support,positive
804,United,negative,terrible,negative
804,United,negative,death,negative
806,United,neutral,disappointment,negative
806,United,neutral,bad,negative
806,United,neutral,spoil,negative
807,United,positive,impress,positive
811,United,negative,ftw,positive
812,United,negative,incompetence,negative
815,United,negative,shocked,negative
816,United,negative,pretty,positive
816,United,negative,ridiculous,negative
819,United,neutral,lose,negative
819,United,neutral,easier,positive
820,United,negative,delay,negative
820,United,negative,worst,negative
821,United,negative,delayed,negative
821,United,negative,delayed,negative
824,United,negative,disaster,negative
824,United,negative,unacceptable,negative
825,United,negative,worst,negative
826,United,negative,ridiculous,negative
827,United,negative,frigid,negative
827,United,negative,falling,negative
831,United,negative,rectify,positive
831,United,negative,quiet,positive
835,United,positive,refunded,positive
835,United,positive,free,positive
836,United,positive,fun,positive
837,United,negative,refunded,positive
840,United,negative,delays,negative
840,United,negative,sucks,negative
841,United,negative,frustrated,negative
841,United,negative,wasted,negative
841,United,negative,failures,negative
842,United,negative,ridiculous,negative
843,United,negative,poor,negative
844,United,positive,terrific,positive
845,United,negative,suspect,negative
845,United,negative,wasted,negative
846,United,negative,refund,positive
848,United,negative,correct,positive
848,United,negative,error,negative
849,United,negative,finest,positive
850,United,negative,delay,negative
851,United,negative,confusion,negative
851,United,negative,rude,negative
851,United,negative,unhelpful,negative
852,United,negative,failure,negative
852,United,negative,bad,negative
852,United,negative,emergency,negative
853,United,negative,failures,negative
853,United,negative,delaying,negative
854,United,neutral,tired,negative
855,United,positive,shaky,negative
861,United,negative,poor,negative
862,United,negative,randomly,negative
864,United,negative,bad,negative
866,United,negative,refund,positive
866,United,negative,unnecessary,negative
867,United,negative,horrible,negative
867,United,negative,lost,negative
867,United,negative,loner,negative
867,United,negative,illegal,negative
869,United,neutral,love,positive
870,United,neutral,amenity,positive
871,United,negative,wrong,negative
872,United,neutral,lie,negative
874,United,negative,premier,positive
875,United,negative,wonderful,positive
878,United,positive,amazing,positive
878,United,positive,lost,negative
879,United,negative,helping,positive
881,United,neutral,feat,positive
884,United,negative,lose,negative
884,United,negative,ugh,negative
885,United,negative,lost,negative
885,United,negative,frustrating,negative
887,United,positive,hard,negative
892,United,positive,awesome,positive
894,United,positive,helpful,positive
895,United,negative,damn,negative
899,United,negative,missed,negative
902,United,negative,rude,negative
902,United,negative,overwhelmed,negative
902,United,negative,pretty,positive
903,United,negative,rough,negative
904,United,negative,fail,negative
906,United,negative,stuck,negative
907,United,neutral,cozy,positive
907,United,neutral,gross,negative
908,United,negative,issue,negative
908,United,negative,vice,negative
912,United,negative,proper,positive
912,United,negative,issue,negative
913,United,negative,terrible,negative
915,United,negative,inadequate,negative
917,United,positive,helpful,positive
919,United,negative,delayed,negative
920,United,negative,disappointment,negative
920,United,negative,worth,positive
923,United,negative,saver,positive
923,United,negative,awards,positive
925,United,negative,issue,negative
925,United,negative,promises,positive
928,United,negative,stolen,negative
929,United,neutral,love,positive
930,United,negative,lost,negative
931,United,negative,damage,negative
931,United,negative,worst,negative
936,United,negative,nonsense,negative
937,United,negative,helpful,positive
937,United,negative,helped,positive
939,United,negative,mysterious,negative
940,United,negative,exhausted,negative
940,United,negative,frustrated,negative
940,United,negative,issue,negative
941,United,negative,denied,negative
942,United,positive,premier,positive
943,United,negative,worst,negative
943,United,negative,blame,negative
943,United,negative,unacceptable,negative
944,United,negative,terrible,negative
944,United,negative,rude,negative
944,United,negative,expensive,negative
946,United,negative,worst,negative
946,United,negative,lost,negative
947,United,negative,terrible,negative
948,United,negative,gold,positive
948,United,negative,angry,negative
950,United,neutral,break,negative
951,United,positive,favorite,positive
952,United,neutral,awful,negative
953,United,negative,terrible,negative
953,United,negative,complaint,negative
954,United,negative,lovely,positive
956,United,negative,delayed,negative
959,United,negative,amaze,positive
959,United,negative,worse,negative
964,United,negative,atrocious,negative
965,United,neutral,honor,positive
965,United,neutral,absurdly,negative
965,United,neutral,mistake,negative
966,United,negative,delayed,negative
966,United,negative,delay,negative
970,United,negative,frustrated,negative
971,United,negative,worst,negative
971,United,negative,plague,negative
972,United,negative,worst,negative
973,United,negative,correctly,positive
973,United,negative,disappointed,negative
973,United,negative,terrible,negative
974,United,negative,premier,positive
974,United,negative,gold,positive
974,United,negative,wrong,negative
974,United,negative,refuses,negative
974,United,negative,angry,negative
975,United,negative,consistent,positive
975,United,negative,consistent,positive
976,United,negative,angry,negative
977,United,negative,terrible,negative
979,United,negative,glitch,negative
980,United,negative,poor,negative
980,United,negative,lost,negative
980,United,negative,frustrated,negative
982,United,negative,delay,negative
982,United,negative,unfriendly,negative
983,United,negative,worst,negative
983,United,negative,lost,negative
984,United,negative,delayed,negative
984,United,negative,unfriendly,negative
985,United,negative,killing,negative
985,United,negative,positive,positive
987,United,negative,sick,negative
988,United,negative,free,positive
988,United,negative,unacceptable,negative
990,United,neutral,prompt,positive
991,United,negative,disappointment,negative
991,United,negative,delayed,negative
992,United,negative,rude,negative
993,United,negative,hates,negative
994,United,negative,panicked,negative
996,United,negative,frustration,negative
996,United,negative,cheaper,positive
997,United,negative,wasted,negative
1000,United,positive,pleased,positive
1000,United,positive,premier,positive
1002,United,negative,sarcasm,negative
1004,United,negative,miscalculation,negative
1005,United,negative,shame,negative
1007,United,negative,upset,negative
1008,United,negative,delayed,negative
1008,United,negative,miss,negative
1009,United,negative,issues,negative
1009,United,negative,cold,negative
1010,United,negative,disappointed,negative
1011,United,negative,issues,negative
1015,United,positive,absurd,negative
1016,United,negative,overweight,negative
1019,United,negative,concern,negative
1019,United,negative,issue,negative
1019,United,negative,miserable,negative
1019,United,negative,issues,negative
1020,United,negative,complain,negative
1022,United,positive,issue,negative
1024,United,negative,redeem,positive
1024,United,negative,properly,positive
1026,United,negative,split,negative
1027,United,negative,horrible,negative
1028,United,negative,nice,positive
1028,United,negative,ready,positive
1028,United,negative,gains,positive
1029,United,negative,dirty,negative
1035,United,negative,happy,positive
1039,United,negative,delays,negative
1039,United,negative,missed,negative
1041,United,negative,frustration,negative
1041,United,negative,hard,negative
1042,United,negative,thrilled,positive
1042,United,negative,loved,positive
1043,United,negative,deaf,negative
1043,United,negative,slowly,negative
1044,United,negative,hassle,negative
1045,United,negative,terribly,negative
1046,United,negative,hate,negative
1046,United,negative,rude,negative
1047,United,negative,nice,positive
1047,United,negative,delayed,negative
1048,United,positive,helping,positive
1049,United,negative,complimentary,positive
1050,United,negative,vice,negative
1050,United,negative,expired,negative
1051,United,negative,delay,negative
1053,United,negative,desert,negative
1054,United,negative,helped,positive
1056,United,negative,missed,negative
1056,United,negative,remedy,positive
1057,United,negative,helpful,positive
1058,United,negative,farce,negative
1058,United,negative,worse,negative
1059,United,negative,shambles,negative
1060,United,negative,ridiculous,negative
1061,United,neutral,happy,positive
1061,United,neutral,cute,positive
1064,United,negative,delayed,negative
1064,United,negative,confidence,positive
1065,United,negative,delayed,negative
1065,United,negative,issue,negative
1067,United,positive,kindness,positive
1068,United,negative,conveniently,positive
1070,United,negative,delayed,negative
1070,United,negative,broken,negative
1070,United,negative,damaged,negative
1070,United,negative,lost,negative
1070,United,negative,complaints,negative
1072,United,positive,beauty,positive
1074,United,negative,issues,negative
1075,United,negative,suffer,negative
1075,United,negative,delays,negative
1075,United,negative,delays,negative
1076,United,negative,delayed,negative
1077,United,negative,ridiculous,negative
1077,United,negative,delays,negative
1078,United,negative,refund,positive
1078,United,negative,delaying,negative
1082,United,negative,hell,negative
1083,United,negative,impressed,positive
1085,United,negative,helpful,positive
1085,United,negative,refresh,positive
1085,United,negative,delayed,negative
1086,United,negative,delays,negative
1089,United,negative,delay,negative
1090,United,negative,reasonable,positive
1092,United,negative,split,negative
1092,United,negative,expensive,negative
1093,United,negative,bad,negative
1093,United,negative,worse,negative
1094,United,positive,brilliant,positive
1096,United,positive,compliant,positive
1098,United,negative,screwed,negative
1099,United,negative,crap,negative
1101,United,neutral,fails,negative
1103,United,negative,gold,positive
1103,United,negative,lost,negative
1103,United,negative,gold,positive
1104,United,positive,ready,positive
1105,United,positive,wow,positive
1105,United,positive,awesome,positive
1108,United,negative,consistently,positive
1109,United,positive,loving,positive
1113,United,neutral,faith,positive
1114,United,negative,supporting,positive
1116,United,negative,missed,negative
1116,United,negative,ugh,negative
1117,United,negative,favorite,positive
1117,United,negative,substandard,negative
1118,United,negative,complain,negative
